Bana,Namn,Förening,Klass,Gren
6,,,,
7,,,,
8,Marcus Heinemark,Norrköpings SKG,Herr,3x20
9,Johan Jürss,Eskilstunas SKF,Veteran,3x20
10,Emil Ala-Kulju,Nyköpings SKG,Herr,3x20
11,Per-Erik Andersson,Norrköpings SKG,Veteran,2x30
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
