Bana,Namn,Förening,Klass,Gren
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,Emil Ala-Kulju,Nyköpings SKG,Herr,Liggande
13,Jan Lorin ,Skänninge SKG,Veteran,Liggande
14,Roger Adermark,Österhaninge SKF,V45,Liggande
15,Arne Göranson,Södermalms & Liljeholmens SKF,Herr,Liggande
16,Alexander Devell,Nyköpings SKG,HJ,Liggande
17,Roland Berg,Skänninge SKG,Veteran,Liggande
18,,,,
19,,,,
20,,,,
