Bana,Namn,Förening,Klass,Gren
6,,,,
7,,,,
8,,,,
9,,,,
10,Emil Ala-Kulju,Nyköpings SKG,Herr,Liggande
11,Alexander Devell,Nyköpings SKG,HJ,Liggande
12,,,,
13,,,,
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
