Bana,Namn,Förening,Klass,Gren
6,,,,
7,,,,
8,,,,
9,Emil Ala-Kulju,Nyköpings SKG,Herr,Liggande
10,Axel Rantakokko,Rasbo-Vaksala SKF,HJ,Liggande
11,Sune Eriksson,Bogsta SKG,Veteran,Liggande
12,Stefan Bengtsson,Ludvika SKF,Veteran,Liggande
13,Roger Adermark,Österhaninge SKF,Veteran,Liggande
14,,,,
15,,,,
16,,,,
17,,,,
18,,,,
19,,,,
20,,,,
